epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.024,3.99984,4.26924,4.00703,0,0,0,0,3.56786,4.48469,4.19623,0.000410256,0.000410256,0.000410256
2,155.417,3.04588,2.52454,3.0354,0.60387,0.12918,0.24866,0.08616,2.75082,2.61121,2.9028,0.000818737,0.000818737,0.000818737
3,232.481,2.68306,1.8993,2.35367,0.52062,0.17303,0.18888,0.06503,2.8094,2.60811,2.77136,0.00121897,0.00121897,0.00121897
4,309.143,2.40085,1.48531,1.99296,0.56599,0.46398,0.49017,0.2383,2.15648,1.40443,1.90494,0.00121287,0.00121287,0.00121287
5,385.88,2.14551,1.24559,1.7794,0.58208,0.52295,0.54288,0.29362,2.0748,1.23402,1.82504,0.0012005,0.0012005,0.0012005
6,462.673,1.98439,1.12365,1.66553,0.69188,0.61229,0.61087,0.32846,1.93682,1.08091,1.75552,0.00118812,0.00118812,0.00118812
7,539.475,1.82168,1.00584,1.54387,0.68093,0.67211,0.67485,0.36222,1.7981,0.99418,1.63619,0.00117575,0.00117575,0.00117575
8,616.242,1.75852,0.97358,1.49947,0.72133,0.6458,0.67859,0.37402,1.74492,0.94888,1.60298,0.00116337,0.00116337,0.00116337
9,692.991,1.64218,0.89879,1.4271,0.7654,0.62895,0.68305,0.39012,1.67952,0.94262,1.49522,0.001151,0.001151,0.001151
10,769.723,1.5999,0.86537,1.41062,0.69274,0.61888,0.65995,0.35423,1.79636,1.08611,1.57208,0.00113863,0.00113863,0.00113863
11,846.295,1.6154,0.86012,1.40524,0.70165,0.61048,0.71373,0.39628,1.6724,1.00359,1.48523,0.00112625,0.00112625,0.00112625
12,923.053,1.54312,0.82934,1.36299,0.62742,0.67657,0.71553,0.39193,1.72926,0.97496,1.50788,0.00111388,0.00111388,0.00111388
13,999.602,1.51436,0.80236,1.34819,0.7711,0.68481,0.74606,0.42029,1.55585,0.84489,1.39148,0.0011015,0.0011015,0.0011015
14,1076.3,1.48466,0.77698,1.32056,0.68854,0.72732,0.7423,0.42326,1.58993,0.85345,1.38943,0.00108913,0.00108913,0.00108913
15,1153,1.45537,0.75898,1.29515,0.8169,0.67561,0.77007,0.41064,1.74021,0.98749,1.49663,0.00107675,0.00107675,0.00107675
16,1229.52,1.40953,0.74344,1.28483,0.76535,0.74591,0.7479,0.40335,1.67201,0.86226,1.42361,0.00106437,0.00106437,0.00106437
17,1306.07,1.42115,0.73742,1.28421,0.68813,0.74419,0.76891,0.41134,1.6116,0.90852,1.38697,0.001052,0.001052,0.001052
18,1382.58,1.39307,0.72589,1.26855,0.77969,0.75603,0.79481,0.43471,1.56398,0.80964,1.39581,0.00103962,0.00103962,0.00103962
19,1459.33,1.38314,0.71413,1.26027,0.83518,0.68042,0.752,0.43162,1.56763,0.80524,1.40302,0.00102725,0.00102725,0.00102725
20,1535.86,1.35329,0.71003,1.24778,0.81295,0.7772,0.81373,0.44435,1.56425,0.78301,1.39068,0.00101488,0.00101488,0.00101488
21,1612.57,1.34163,0.69953,1.23796,0.79272,0.72041,0.76685,0.38938,1.74052,0.909,1.46901,0.0010025,0.0010025,0.0010025
22,1689.09,1.3321,0.68952,1.22557,0.67909,0.7473,0.70506,0.39825,1.69542,0.83315,1.39501,0.000990125,0.000990125,0.000990125
23,1765.71,1.29438,0.67255,1.21298,0.82991,0.73753,0.79499,0.45754,1.44767,0.75396,1.34935,0.00097775,0.00097775,0.00097775
24,1842.45,1.3019,0.66626,1.20819,0.82151,0.80916,0.82363,0.48435,1.3791,0.72636,1.29411,0.000965375,0.000965375,0.000965375
25,1919.19,1.28231,0.66903,1.21446,0.78371,0.75184,0.78641,0.44965,1.46743,0.79962,1.35783,0.000953,0.000953,0.000953
26,1995.71,1.29109,0.66225,1.2146,0.84459,0.77972,0.82162,0.47711,1.44463,0.7481,1.34768,0.000940625,0.000940625,0.000940625
27,2072.26,1.2625,0.65267,1.19454,0.78639,0.78102,0.80555,0.4275,1.6404,0.78248,1.4413,0.00092825,0.00092825,0.00092825
28,2148.77,1.26035,0.64826,1.1928,0.86384,0.74842,0.81491,0.43474,1.58408,0.76623,1.35611,0.000915875,0.000915875,0.000915875
29,2225.21,1.23436,0.63424,1.1772,0.81297,0.79951,0.82786,0.46624,1.52163,0.75085,1.35081,0.0009035,0.0009035,0.0009035
30,2301.71,1.22425,0.62884,1.17227,0.88958,0.7758,0.84309,0.51595,1.31585,0.67137,1.29669,0.000891125,0.000891125,0.000891125
31,2378.4,1.22133,0.62662,1.16494,0.77777,0.79227,0.7974,0.44158,1.52203,0.73666,1.32623,0.00087875,0.00087875,0.00087875
32,2454.92,1.22824,0.62588,1.17074,0.82039,0.80473,0.82371,0.45136,1.49354,0.73702,1.36317,0.000866375,0.000866375,0.000866375
33,2531.41,1.20023,0.61559,1.15794,0.87189,0.76107,0.83555,0.5071,1.41227,0.70187,1.30879,0.000854,0.000854,0.000854
34,2607.92,1.18595,0.60453,1.14731,0.82789,0.79102,0.82903,0.49146,1.39092,0.71952,1.28936,0.000841625,0.000841625,0.000841625
35,2684.4,1.18039,0.60418,1.1541,0.82047,0.79748,0.81501,0.48025,1.38025,0.71857,1.30474,0.00082925,0.00082925,0.00082925
36,2760.87,1.17928,0.60274,1.14697,0.81167,0.80268,0.83319,0.46274,1.48243,0.72867,1.34173,0.000816875,0.000816875,0.000816875
37,2837.31,1.1764,0.60266,1.14647,0.84006,0.79903,0.83515,0.5051,1.34689,0.68611,1.31053,0.0008045,0.0008045,0.0008045
38,2913.71,1.16634,0.59933,1.13757,0.88341,0.80298,0.85551,0.53863,1.27996,0.65714,1.23982,0.000792125,0.000792125,0.000792125
39,2990.4,1.15113,0.58949,1.13223,0.85753,0.79951,0.84955,0.51555,1.30848,0.65551,1.25675,0.00077975,0.00077975,0.00077975
40,3066.88,1.15449,0.59562,1.13263,0.87164,0.80383,0.86055,0.48642,1.45927,0.69974,1.31434,0.000767375,0.000767375,0.000767375
41,3143.31,1.13876,0.58789,1.1345,0.87253,0.75565,0.83401,0.49429,1.44233,0.73375,1.32727,0.000755,0.000755,0.000755
42,3219.77,1.13627,0.58099,1.12667,0.8826,0.81156,0.84373,0.50417,1.34918,0.6809,1.29053,0.000742625,0.000742625,0.000742625
43,3296.15,1.12824,0.57889,1.13053,0.85127,0.85409,0.86911,0.52045,1.34892,0.65934,1.2827,0.00073025,0.00073025,0.00073025
44,3372.66,1.10736,0.56752,1.10978,0.82131,0.8205,0.84337,0.49415,1.41263,0.68285,1.31776,0.000717875,0.000717875,0.000717875
45,3449.17,1.10707,0.56622,1.11089,0.86545,0.81043,0.8581,0.50474,1.40295,0.67272,1.29183,0.0007055,0.0007055,0.0007055
